date,description,category,incident_code,pd_district,Latitude,Longitude,dayofweek
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,S,40.63827773700007,-74.07879080999999,Thursday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.673353666000025,-73.79018234399997,Tuesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.697476014000074,-73.79854883899996,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.697476014000074,-73.79854883899996,Friday
2017-12-02,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.809498831000035,-73.95166411299994,Saturday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.864694331000074,-73.89957690799997,Sunday
2017-12-06,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.835892630000046,-73.88339793399997,Wednesday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69583901700002,-73.79948419499993,Friday
2017-12-30,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.615374753000026,-74.00006987599994,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-13,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69586554400007,-73.80053353099999,Wednesday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.674622612000064,-73.90140968299994,Friday
2017-12-06,"PROSTITUTION 4,PROMOTING&SECURING",PROSTITUTION & RELATED OFFENSES,576.0,M,40.70751952800003,-74.00709974599994,Wednesday
2017-12-16,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.80437740100007,-73.93532665299993,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.75563864900005,-73.96642620399997,Wednesday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.75086299700007,-73.94544468299993,Friday
2017-12-16,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.65329606100005,-74.01255752799993,Saturday
2017-12-19,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Tuesday
2017-12-06,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.70751952800003,-74.00709974599994,Wednesday
2017-12-14,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.74642028900007,-73.88945158399997,Thursday
2017-12-29,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.69520561100006,-73.98398273499998,Friday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86970365100007,-73.86722364999997,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-27,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.835892630000046,-73.88339793399997,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.65307377000005,-73.88979005899995,Saturday
2017-12-13,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69586554400007,-73.80053353099999,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Saturday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67358291200002,-73.90207814999997,Friday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-15,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.80500294200005,-73.93487091499998,Friday
2017-12-13,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69586554400007,-73.80053353099999,Wednesday
2017-12-13,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69586554400007,-73.80053353099999,Wednesday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Friday
2017-12-13,"PROSTITUTION 4,PROMOTING&SECURING",PROSTITUTION & RELATED OFFENSES,576.0,Q,40.70544320500005,-73.78006898399997,Wednesday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.68822079700004,-73.91981169999997,Sunday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67378484500005,-73.90070072999998,Wednesday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.75086299700007,-73.94544468299993,Friday
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.760347336000045,-73.83270525299997,Wednesday
2017-12-22,"PROSTITUTION 3, PROMOTING UNDER 19",PROSTITUTION & RELATED OFFENSES,584.0,Q,40.726293088000034,-73.73476084899994,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.65307377000005,-73.88979005899995,Saturday
2017-12-19,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.74567518700008,-73.78694472599993,Tuesday
2017-12-13,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,Q,40.70544320500005,-73.78006898399997,Wednesday
2017-12-01,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86970365100007,-73.86722364999997,Friday
2017-12-15,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.68450407700004,-73.86167919199994,Friday
2017-12-15,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.80567903900004,-73.93647406099996,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.747448743000064,-73.88579032699994,Saturday
2017-12-26,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Tuesday
2017-12-01,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.74296417800008,-73.98223182299995,Friday
2017-12-19,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.65802301100007,-73.91262160699995,Tuesday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Friday
2017-12-15,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.87375111100005,-73.85501558599998,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-20,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.599459393000075,-73.96127604599997,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.57460284100006,-73.98763652999997,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,M,40.84930490000005,-73.93896981199998,Saturday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86543854800004,-73.86736232099996,Saturday
2017-12-17,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.86559123400008,-73.89887415799996,Sunday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,S,40.59760170900006,-74.08012916599995,Saturday
2017-12-15,LOITERING FOR PROSTITUTION OR TO PATRONIZE,PROSTITUTION & RELATED OFFENSES,617.0,Q,40.68997415500007,-73.79676854399997,Friday
2017-12-20,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,B,40.906707479000026,-73.84928202899994,Wednesday
2017-12-09,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.69583901700002,-73.79948419499993,Saturday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.67385854500003,-73.90022835899998,Friday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Saturday
2017-12-27,"PROSTITUTION 3,PROMOTING BUSINESS",PROSTITUTION & RELATED OFFENSES,585.0,Q,40.760347336000045,-73.83270525299997,Wednesday
2017-12-14,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.67704000100008,-73.82467630699995,Thursday
2017-12-19,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,K,40.65802301100007,-73.91262160699995,Tuesday
2017-12-27,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,M,40.746823650000074,-73.98469934199994,Wednesday
2017-12-16,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,Q,40.74643684200005,-73.89542079099994,Saturday
2017-12-08,"PROSTITUTION, PATRONIZING 4, 3",PROSTITUTION & RELATED OFFENSES,565.0,K,40.673722103000046,-73.90115145299995,Friday
2017-12-08,PROSTITUTION,PROSTITUTION & RELATED OFFENSES,563.0,B,40.865664700000025,-73.88638631799995,Friday
